the write process succeeded
fd request opened successfully
fd response opened successfully
x is: 29, y is: 7, size is: 1, active is: 1, action is: 32
x is: 43, y is: 21, size is: 1, active is: 1, action is: 32
x is: 37, y is: 13, size is: 1, active is: 1, action is: 32
x is: 81, y is: 19, size is: 1, active is: 1, action is: 32
x is: 81, y is: 21, size is: 1, active is: 1, action is: 32
x is: 63, y is: 33, size is: 1, active is: 1, action is: 32
x is: 79, y is: 39, size is: 1, active is: 1, action is: 32
x is: 33, y is: 35, size is: 1, active is: 1, action is: 32
x is: 39, y is: 37, size is: 1, active is: 1, action is: 32
x is: 73, y is: 9, size is: 1, active is: 1, action is: 32
x is: 13, y is: 31, size is: 1, active is: 1, action is: 32
x is: 75, y is: 17, size is: 1, active is: 1, action is: 32
x is: 3, y is: 25, size is: 1, active is: 1, action is: 32
x is: 41, y is: 29, size is: 1, active is: 1, action is: 32
x is: 39, y is: 29, size is: 1, active is: 1, action is: 32
x is: 5, y is: 33, size is: 1, active is: 1, action is: 32
x is: 5, y is: 29, size is: 1, active is: 1, action is: 32
x is: 85, y is: 37, size is: 1, active is: 1, action is: 32
x is: 51, y is: 19, size is: 1, active is: 1, action is: 32
x is: 31, y is: 35, size is: 1, active is: 1, action is: 32
x is: 69, y is: 33, size is: 1, active is: 1, action is: 32
x is: 21, y is: 23, size is: 1, active is: 1, action is: 32
x is: 53, y is: 13, size is: 1, active is: 1, action is: 32
x is: 47, y is: 25, size is: 1, active is: 1, action is: 32
x is: 13, y is: 33, size is: 1, active is: 1, action is: 32
x is: 23, y is: 35, size is: 1, active is: 1, action is: 32
x is: 43, y is: 11, size is: 1, active is: 1, action is: 32
x is: 57, y is: 29, size is: 1, active is: 1, action is: 32
x is: 37, y is: 7, size is: 1, active is: 1, action is: 32
x is: 67, y is: 5, size is: 1, active is: 1, action is: 32
x is: 41, y is: 33, size is: 1, active is: 1, action is: 32
x is: 7, y is: 25, size is: 1, active is: 1, action is: 32
x is: 25, y is: 37, size is: 1, active is: 1, action is: 32
